Designator,Mid X,Mid Y,Layer,Rotation
C1,27.940mm,17.780mm,Top,90
C2,67.818mm,8.890mm,Top,180
C3,73.660mm,43.180mm,Top,180
OPTO,26.670mm,43.180mm,Top,180
Q1,71.120mm,52.070mm,Top,270
Q2,24.130mm,19.050mm,Top,180
Q3,67.310mm,17.780mm,Top,0
R1,27.940mm,30.480mm,Top,0
R2,34.290mm,38.100mm,Top,90
R3,34.290mm,43.180mm,Top,90
R4,29.210mm,49.530mm,Top,0
R5,33.020mm,53.340mm,Top,90
R6,63.500mm,36.830mm,Top,270
R7,60.960mm,36.830mm,Top,270
R8,74.930mm,49.530mm,Top,270
R9,29.210mm,38.100mm,Top,0
R10,19.050mm,48.260mm,Top,90
R11,20.320mm,19.050mm,Top,90
R12,71.120mm,17.780mm,Top,90
T1,25.400mm,12.700mm,Top,90
T2,69.850mm,12.700mm,Top,270
T3P,73.660mm,39.370mm,Top,0
TP1,29.910mm,35.560mm,Top,90
GNDT1,43.118mm,18.669mm,Bot,270
GNDT2,58.355mm,18.669mm,Bot,90
